# source, target, _graphml_edge_id, bridge, crs, geometry, highway, lanes, length, name, oneway, osmid, ref, simplified, streets_per_node
44,45,0,,,"LINESTRING (-85.262535 31.571205, -85.262366 31.571193, -85.262028 31.571156, -85.261872 31.571086, -85.261758 31.570972, -85.261697 31.570831, -85.26169899999999 31.570684, -85.261713 31.570536, -85.26172 31.570391, -85.261747 31.570241)",residential,,164.284,,False,7711255,,,
44,12,0,,,"LINESTRING (-85.262535 31.571205, -85.262553 31.571022, -85.262621 31.570664, -85.262777 31.570326, -85.263018 31.57003, -85.263333 31.569787, -85.26370799999999 31.569623, -85.264031 31.569531)",residential,,253.64600000000002,Singletary Road,False,7712915,,,
44,145,0,,,"LINESTRING (-85.262535 31.571205, -85.262536 31.57142, -85.26249 31.572437)",residential,,137.076,Singletary Road,False,7712915,,,
45,44,0,,,"LINESTRING (-85.261747 31.570241, -85.26172 31.570391, -85.261713 31.570536, -85.26169899999999 31.570684, -85.261697 31.570831, -85.261758 31.570972, -85.261872 31.571086, -85.262028 31.571156, -85.262366 31.571193, -85.262535 31.571205)",residential,,164.284,,False,7711255,,,
46,47,0,,,"LINESTRING (-85.255764 31.571379, -85.255878 31.571264, -85.256483 31.570329, -85.256726 31.569036, -85.25652100000001 31.568493, -85.256167 31.568018, -85.255779 31.567724, -85.254912 31.567605, -85.254295 31.567533, -85.253505 31.567638, -85.252617 31.56781, -85.252135 31.567983, -85.251856 31.568106)",residential,,839.7879999999999,,False,7711295,,,
46,250,0,,,"LINESTRING (-85.255764 31.571379, -85.255737 31.571604, -85.255735 31.571632, -85.255717 31.571885)",residential,,56.452,West Williams Street,False,7716584,,,
46,344,0,,,"LINESTRING (-85.255764 31.571379, -85.25578 31.571241, -85.25576 31.571166, -85.255685 31.571119, -85.255601 31.571101, -85.255177 31.571049, -85.254749 31.571038, -85.254322 31.571021, -85.25343100000001 31.570992)",residential,,247.11700000000002,West Williams Street,False,7716584,,,
47,48,0,,,,residential,,13.346,,False,7711295,,,
47,188,0,,,,residential,,75.326,Trawick Street,False,7712596,,,
47,46,0,,,"LINESTRING (-85.251856 31.568106, -85.252135 31.567983, -85.252617 31.56781, -85.253505 31.567638, -85.254295 31.567533, -85.254912 31.567605, -85.255779 31.567724, -85.256167 31.568018, -85.25652100000001 31.568493, -85.256726 31.569036, -85.256483 31.570329, -85.255878 31.571264, -85.255764 31.571379)",residential,,839.788,,False,7711295,,,
